"t(s)"	"xR(m)"	"yR(m)"	"vR(m/s)"	"N° WP"	"dist WP (m)"	"xCentreCercle(m)"	"yCentreCercle(m)"	"directionWP(rad)"	"xRobot/WP(m)"	"yRobot/WP(m)"	"Rayon(m)"	"capRobot(rad)"	"capCercleIdeal(rad)"	"ecartAngulaire_rad(rad)"	"consV_MDroit(rad/s)"	"consV_MGauche(rad/s)"	"vConsCGrad/s"	"distCurvWP(m)"	"distDecel(m)"
1280	0,0203556	0,0764503	0,126	0	1,34635	0,0748443	1	0	-0,979644	-0,92355	-0,925156	0,52553	1,62973	01/01/1042	1,65428	182,666	92,16	0	0
1290	0,0209927	0,0775489	0,127	0	1,34513	0,0759153	1	0	-0,979007	-0,922451	-0,924085	0,533845	1,63027	1,09642	1,67893	184,081	92,88	0	0
1300	0,0216441	0,0786508	0,128	0	01/01/3439	0,07699	1	0	-0,978356	-0,921349	-0,92301	0,542225	1,63079	1,08857	1,70403	185,496	93,6	0	0
1310	0,0223098	0,0797558	0,129	0	1,34266	0,0780681	1	0	-0,97769	-0,920244	-0,921932	0,550669	1,63131	1,08064	1,72962	186,91	94,32	0	0
1320	0,02299	0,0808636	0,13	0	01/01/3414	0,0791495	1	0	-0,97701	-0,919136	-0,92085	0,559178	1,63182	1,07264	01/01/7557	188,324	95,04	0	0
1330	0,0236849	0,0819741	0,131	0	1,34014	0,080234	1	0	-0,976315	-0,918026	-0,919766	0,567751	1,63232	1,06457	01/01/7823	189,738	95,76	0	0
1340	0,0243947	0,083087	0,132	0	1,33886	0,0813215	1	0	-0,975605	-0,916913	-0,918678	0,576388	01/01/6328	1,05641	1,80943	191,151	96,48	0	0
1350	0,0251196	0,0842021	0,133	0	1,33756	0,0824117	1	0	-0,97488	-0,915798	-0,917588	0,58509	1,63327	1,04819	1,83711	192,563	97,2	0	0
1360	0,0258596	0,0853192	0,134	0	1,33626	0,0835046	1	0	-0,97414	-0,914681	-0,916495	0,593855	1,63373	1,03988	1,86536	193,975	97,92	0	0
1370	0,026615	0,0864381	0,135	0	1,33494	0,0845997	1	0	-0,973385	-0,913562	-0,9154	0,602685	1,63418	01/01/315	01/01/8942	195,386	98,64	0	0
1380	0,027386	0,0875585	0,136	0	1,33361	0,0856971	1	0	-0,972614	-0,912442	-0,914303	0,611578	1,63462	1,02304	1,92365	196,796	99,36	0	0
1390	0,0281726	0,0886801	0,137	0	1,33227	0,0867965	1	0	-0,971827	-0,91132	-0,913204	0,620536	1,63504	01/01/145	1,95373	198,206	100,08	0	0
1400	0,028975	0,0898029	0,138	0	1,33092	0,0878976	1	0	-0,971025	-0,910197	-0,912102	0,629558	1,63544	1,00588	1,98448	199,616	100,8	0	0
1410	0,0297934	0,0909264	0,139	0	1,32955	0,0890004	1	0	-0,970207	-0,909074	-0,911	0,638643	1,63583	0,99719	2,01591	201,024	101,52	0	0
1420	0,030628	0,0920504	0,14	0	1,32818	0,0901045	1	0	-0,969372	-0,90795	-0,909896	0,647792	1,63621	0,988417	2,04804	202,432	102,24	0	0
1430	0,0314788	0,0931748	0,141	0	1,32679	0,0912097	1	0	-0,968521	-0,906825	-0,90879	0,657005	1,63657	0,979564	2,08092	203,839	102,96	0	0
1440	0,0323461	0,0942992	0,142	0	1,32539	0,0923159	1	0	-0,967654	-0,905701	-0,907684	0,666282	1,63691	0,970632	2,11456	205,245	103,68	0	0
